id,price_min,mean_true
691,Work In Progess,59.91
92060,Work In Progess,63.23
878,Work In Progess,63.42
258,Work In Progess,62.87
93048,Work In Progess,61.68
714,Work In Progess,61.05
93706,Work In Progess,59.39
632,Work In Progess,60.4
199,Work In Progess,60.2
901,Work In Progess,62.51
96009,Work In Progess,62.74
93710,Work In Progess,61.93
573,Work In Progess,62.65
947,Work In Progess,62.37
222,Work In Progess,63.07
327,Work In Progess,59.43
140,Work In Progess,63.51
783,Work In Progess,63.23
93717,Work In Progess,62.86
888,Work In Progess,61.59
268,Work In Progess,62.2
537,Work In Progess,61.78
455,Work In Progess,63.09
724,Work In Progess,61.88
94049,Work In Progess,63.43
829,Work In Progess,62.55
209,Work In Progess,62.63
291,Work In Progess,62.04
396,Work In Progess,61.5
77,Work In Progess,61.05
15,Work In Progess,59.71
419,Work In Progess,63.28
232,Work In Progess,59.96
337,Work In Progess,62.1
980,Work In Progess,61.74
524,Work In Progess,61.37
173,Work In Progess,60.25
898,Work In Progess,62.68
278,Work In Progess,60.71
547,Work In Progess,62.4
465,Work In Progess,60.57
734,Work In Progess,62.35
652,Work In Progess,61.31
839,Work In Progess,61.32
219,Work In Progess,62.86
757,Work In Progess,63.34
593,Work In Progess,59.81
862,Work In Progess,60.78
16,Work In Progess,62.26
429,Work In Progess,62.47
780,Work In Progess,59.53
347,Work In Progess,60.53
990,Work In Progess,59.6
183,Work In Progess,62.8
803,Work In Progess,61.43
37,Work In Progess,62.63
288,Work In Progess,60.16
475,Work In Progess,63.2
908,Work In Progess,63.08
94080,Work In Progess,59.43
662,Work In Progess,60.62
849,Work In Progess,63.4
416,Work In Progess,60.47
229,Work In Progess,60.66
977,Work In Progess,62.67
872,Work In Progess,59.91
17,Work In Progess,60.63
93104,Work In Progess,62.63
357,Work In Progess,61.55
91796,Work In Progess,60.82
94091,Work In Progess,62.27
91798,Work In Progess,60.27
91799,Work In Progess,63.06
298,Work In Progess,61.33
918,Work In Progess,62.26
91800,Work In Progess,61.74
91801,Work In Progess,61.19
859,Work In Progess,61.69
239,Work In Progess,60.7
91804,Work In Progess,62.31
91805,Work In Progess,60.01
94100,Work In Progess,60.56
8,Work In Progess,63.38
18,Work In Progess,60.59
180,Work In Progess,60.33
93120,Work In Progess,59.48
93121,Work In Progess,62.12
91811,Work In Progess,60.96
91812,Work In Progess,60.18
92140,Work In Progess,59.43
91814,Work In Progess,62.35
91815,Work In Progess,62.81
91816,Work In Progess,62.59
682,Work In Progess,59.65
91818,Work In Progess,59.67
91819,Work In Progess,60.67
249,Work In Progess,63.24
91820,Work In Progess,59.37
95103,Work In Progess,62.64
91822,Work In Progess,60.99
892,Work In Progess,63.49
91824,Work In Progess,62.47
91825,Work In Progess,60.67
190,Work In Progess,62.41
91827,Work In Progess,62.06
564,Work In Progess,61.62
91829,Work In Progess,62.28
213,Work In Progess,59.9
91830,Work In Progess,59.83
91831,Work In Progess,63.34
95114,Work In Progess,62.53
91833,Work In Progess,62.89
774,Work In Progess,60.29
91835,Work In Progess,61.06
91836,Work In Progess,63.34
341,Work In Progess,61.43
91838,Work In Progess,61.36
91839,Work In Progess,63.05
96106,Work In Progess,60.13
91840,Work In Progess,63.12
902,Work In Progess,61.21
93153,Work In Progess,60.19
91843,Work In Progess,61.47
91844,Work In Progess,59.82
948,Work In Progess,61.32
92173,Work In Progess,60.23
328,Work In Progess,61.71
91848,Work In Progess,60.29
784,Work In Progess,59.69
164,Work In Progess,62.8
889,Work In Progess,63.25
269,Work In Progess,61.09
91852,Work In Progess,61.78
91853,Work In Progess,60.73
91854,Work In Progess,61.98
91855,Work In Progess,61.41
83,Work In Progess,61.66
21,Work In Progess,63.51
210,Work In Progess,62.5
91859,Work In Progess,62.4
958,Work In Progess,60.58
771,Work In Progess,59.43
151,Work In Progess,61.68
91862,Work In Progess,59.51
91863,Work In Progess,62.6
91864,Work In Progess,60.85
91865,Work In Progess,60.34
712,Work In Progess,61.05
91867,Work In Progess,61.27
91868,Work In Progess,61.2
91869,Work In Progess,62.78
466,Work In Progess,61.23
91870,Work In Progess,60.26
653,Work In Progess,61.65
91872,Work In Progess,62.1
91873,Work In Progess,62.18
94828,Work In Progess,60.04
594,Work In Progess,59.36
91876,Work In Progess,62.76
91877,Work In Progess,60.36
43,Work In Progess,63.47
91879,Work In Progess,61.33
348,Work In Progess,60.56
535,Work In Progess,62.26
91881,Work In Progess,61.24
91882,Work In Progess,60.93
91883,Work In Progess,62.06
91884,Work In Progess,62.15
476,Work In Progess,60.48
91886,Work In Progess,60.51
91887,Work In Progess,61.62
91888,Work In Progess,62.55
91889,Work In Progess,62.12
417,Work In Progess,63.31
91890,Work In Progess,62.33
978,Work In Progess,61.64
91892,Work In Progess,60.08
91893,Work In Progess,63.15
91894,Work In Progess,62.69
358,Work In Progess,59.83
91896,Work In Progess,59.94
91897,Work In Progess,62.76
91898,Work In Progess,60.75
91899,Work In Progess,61.22
299,Work In Progess,59.88
919,Work In Progess,62.33
91900,Work In Progess,62.32
91901,Work In Progess,61.71
86,Work In Progess,61.62
24,Work In Progess,61.73
240,Work In Progess,61.95
91905,Work In Progess,60.82
91906,Work In Progess,59.98
91907,Work In Progess,60.78
91908,Work In Progess,61.83
181,Work In Progess,61.12
450,Work In Progess,63.06
91910,Work In Progess,61.43
91911,Work In Progess,61.26
91912,Work In Progess,61.02
742,Work In Progess,59.67
91914,Work In Progess,61.42
91915,Work In Progess,63.25
91916,Work In Progess,62.53
683,Work In Progess,61.15
91918,Work In Progess,62.21
91919,Work In Progess,62.46
25,Work In Progess,61.07
91920,Work In Progess,60.5
91921,Work In Progess,63.48
91922,Work In Progess,61.59
624,Work In Progess,62.32
91924,Work In Progess,59.51
91925,Work In Progess,62.72
91926,Work In Progess,59.74
91927,Work In Progess,61.26
565,Work In Progess,63.17
91929,Work In Progess,63.03
95212,Work In Progess,59.89
91930,Work In Progess,63.02
91931,Work In Progess,62.68
506,Work In Progess,62.53
91933,Work In Progess,62.77
91934,Work In Progess,62.51
91935,Work In Progess,61.21
91936,Work In Progess,59.66
447,Work In Progess,62.83
91938,Work In Progess,59.7
91939,Work In Progess,63.08
93579,Work In Progess,62.89
91940,Work In Progess,60.28
91941,Work In Progess,62.3
388,Work In Progess,61.83
91943,Work In Progess,62.44
949,Work In Progess,62.03
91945,Work In Progess,62.92
91946,Work In Progess,61.82
329,Work In Progess,59.88
91948,Work In Progess,62.26
91949,Work In Progess,62.33
516,Work In Progess,60.29
89,Work In Progess,61.21
27,Work In Progess,59.82
270,Work In Progess,59.4
91953,Work In Progess,62.94
